Year,Mod de accesare,Value
2010,,
2010,La sediul instituției,
2011,,
2011,La sediul instituției,
2012,,
2012,La sediul instituției,
2013,,
2013,La sediul instituției,
2014,,
2014,La sediul instituției,
2015,,83.57
2015,La sediul instituției,83.57
2016,,87.86
2016,La sediul instituției,87.86
2017,,88.57
2017,La sediul instituției,88.57
2018,,97.5
2018,La sediul instituției,97.5
2019,,97.4
2019,La sediul instituției,97.4
2020,,96.2
2020,La sediul instituției,96.2
2021,,32.82
2021,La sediul instituției,32.82
2022,,64.0
2022,La sediul instituției,64.0
2023,,90.92
2023,La sediul instituției,90.92
2024,,92.4
2024,La sediul instituției,92.4
2025,,93.1
2025,La sediul instituției,93.1
