Year,Sex,Grupa de vârstă,Regiuni statistice,Ocupaţii,Value
2010,,,,,
2010,Bărbați,,,,
2010,Femei,,,,
2010,,15-24,,,
2010,,25 și peste,,,
2010,,,Mun. Chisnau,,
2010,,,Nord,,
2010,,,Centru,,
2010,,,Sud,,
2010,,,,"Legislatori, membri ai executivului, alți înalți demnitari și conducători ai administrației publice, conducători şi funcţionari superiori din unităţ",
2010,,,,Specialişti în diverse domenii de activitate,
2010,,,,Tehnicieni și alți specialişti cu nivel mediu de calificare,
2010,,,,Funcţionari administrativi,
2010,,,,Lucrători în domeniul serviciilor și în comerț,
2010,,,,Muncitori calificați și asimilați,
2010,,,,Operatori la maşini și instalaţii; asamblori de maşini şi echipamente,
2010,,,,Ocupații elementare,
2011,,,,,
2011,Bărbați,,,,
2011,Femei,,,,
2011,,15-24,,,
2011,,25 și peste,,,
2011,,,Mun. Chisnau,,
2011,,,Nord,,
2011,,,Centru,,
2011,,,Sud,,
2011,,,,"Legislatori, membri ai executivului, alți înalți demnitari și conducători ai administrației publice, conducători şi funcţionari superiori din unităţ",
2011,,,,Specialişti în diverse domenii de activitate,
2011,,,,Tehnicieni și alți specialişti cu nivel mediu de calificare,
2011,,,,Funcţionari administrativi,
2011,,,,Lucrători în domeniul serviciilor și în comerț,
2011,,,,Muncitori calificați și asimilați,
2011,,,,Operatori la maşini și instalaţii; asamblori de maşini şi echipamente,
2011,,,,Ocupații elementare,
2012,,,,,
2012,Bărbați,,,,
2012,Femei,,,,
2012,,15-24,,,
2012,,25 și peste,,,
2012,,,Mun. Chisnau,,
2012,,,Nord,,
2012,,,Centru,,
2012,,,Sud,,
2012,,,,"Legislatori, membri ai executivului, alți înalți demnitari și conducători ai administrației publice, conducători şi funcţionari superiori din unităţ",
2012,,,,Specialişti în diverse domenii de activitate,
2012,,,,Tehnicieni și alți specialişti cu nivel mediu de calificare,
2012,,,,Funcţionari administrativi,
2012,,,,Lucrători în domeniul serviciilor și în comerț,
2012,,,,Muncitori calificați și asimilați,
2012,,,,Operatori la maşini și instalaţii; asamblori de maşini şi echipamente,
2012,,,,Ocupații elementare,
2013,,,,,
2013,Bărbați,,,,
2013,Femei,,,,
2013,,15-24,,,
2013,,25 și peste,,,
2013,,,Mun. Chisnau,,
2013,,,Nord,,
2013,,,Centru,,
2013,,,Sud,,
2013,,,,"Legislatori, membri ai executivului, alți înalți demnitari și conducători ai administrației publice, conducători şi funcţionari superiori din unităţ",
2013,,,,Specialişti în diverse domenii de activitate,
2013,,,,Tehnicieni și alți specialişti cu nivel mediu de calificare,
2013,,,,Funcţionari administrativi,
2013,,,,Lucrători în domeniul serviciilor și în comerț,
