Year,Licență,Master,Value
2010,,,
2010,Licență - Numărul de locuri bugetare în comanda de stat pentru înscrierea în învățământul superior,,
2010,Licență - Tehnologia informației și comunicațiilor,,
2010,"Licență - Programe tehnice, inginerești și științifice",,
2010,,Master - Numărul de locuri bugetare în comanda de stat pentru înscrierea în învățământul superior,
2010,,Master - Tehnologia informației și comunicațiilor,
2010,,"Master - Programe tehnice, inginerești și științifice",
2011,,,
2011,Licență - Numărul de locuri bugetare în comanda de stat pentru înscrierea în învățământul superior,,
2011,Licență - Tehnologia informației și comunicațiilor,,
2011,"Licență - Programe tehnice, inginerești și științifice",,
2011,,Master - Numărul de locuri bugetare în comanda de stat pentru înscrierea în învățământul superior,
2011,,Master - Tehnologia informației și comunicațiilor,
2011,,"Master - Programe tehnice, inginerești și științifice",
2012,,,
2012,Licență - Numărul de locuri bugetare în comanda de stat pentru înscrierea în învățământul superior,,
2012,Licență - Tehnologia informației și comunicațiilor,,
2012,"Licență - Programe tehnice, inginerești și științifice",,
2012,,Master - Numărul de locuri bugetare în comanda de stat pentru înscrierea în învățământul superior,
2012,,Master - Tehnologia informației și comunicațiilor,
2012,,"Master - Programe tehnice, inginerești și științifice",
2013,,,
2013,Licență - Numărul de locuri bugetare în comanda de stat pentru înscrierea în învățământul superior,,
2013,Licență - Tehnologia informației și comunicațiilor,,
2013,"Licență - Programe tehnice, inginerești și științifice",,
2013,,Master - Numărul de locuri bugetare în comanda de stat pentru înscrierea în învățământul superior,
2013,,Master - Tehnologia informației și comunicațiilor,
2013,,"Master - Programe tehnice, inginerești și științifice",
2014,,,
2014,Licență - Numărul de locuri bugetare în comanda de stat pentru înscrierea în învățământul superior,,
2014,Licență - Tehnologia informației și comunicațiilor,,
2014,"Licență - Programe tehnice, inginerești și științifice",,
2014,,Master - Numărul de locuri bugetare în comanda de stat pentru înscrierea în învățământul superior,
2014,,Master - Tehnologia informației și comunicațiilor,
2014,,"Master - Programe tehnice, inginerești și științifice",
2015,,,
2015,Licență - Numărul de locuri bugetare în comanda de stat pentru înscrierea în învățământul superior,,6072.0
2015,Licență - Tehnologia informației și comunicațiilor,,
2015,"Licență - Programe tehnice, inginerești și științifice",,870.0
2015,,Master - Numărul de locuri bugetare în comanda de stat pentru înscrierea în învățământul superior,3425.0
2015,,Master - Tehnologia informației și comunicațiilor,130.0
2015,,"Master - Programe tehnice, inginerești și științifice",380.0
2016,,,
2016,Licență - Numărul de locuri bugetare în comanda de stat pentru înscrierea în învățământul superior,,5930.0
2016,Licență - Tehnologia informației și comunicațiilor,,
2016,"Licență - Programe tehnice, inginerești și științifice",,852.0
2016,,Master - Numărul de locuri bugetare în comanda de stat pentru înscrierea în învățământul superior,3468.0
2016,,Master - Tehnologia informației și comunicațiilor,130.0
2016,,"Master - Programe tehnice, inginerești și științifice",380.0
2017,,,
2017,Licență - Numărul de locuri bugetare în comanda de stat pentru înscrierea în învățământul superior,,4931.0
2017,Licență - Tehnologia informației și comunicațiilor,,445.0
2017,"Licență - Programe tehnice, inginerești și științifice",,710.0
2017,,Master - Numărul de locuri bugetare în comanda de stat pentru înscrierea în învățământul superior,2881.0
2017,,Master - Tehnologia informației și comunicațiilor,
2017,,"Master - Programe tehnice, inginerești și științifice",
2018,,,
2018,Licență - Numărul de locuri bugetare în comanda de stat pentru înscrierea în învățământul superior,,4906.0
2018,Licență - Tehnologia informației și comunicațiilor,,450.0
2018,"Licență - Programe tehnice, inginerești și științifice",,737.0
2018,,Master - Numărul de locuri bugetare în comanda de stat pentru înscrierea în învățământul superior,2876.0
2018,,Master - Tehnologia informației și comunicațiilor,
2018,,"Master - Programe tehnice, inginerești și științifice",
2019,,,
2019,Licență - Numărul de locuri bugetare în comanda de stat pentru înscrierea în învățământul superior,,4906.0
2019,Licență - Tehnologia informației și comunicațiilor,,550.0
2019,"Licență - Programe tehnice, inginerești și științifice",,717.0
2019,,Master - Numărul de locuri bugetare în comanda de stat pentru înscrierea în învățământul superior,2876.0
2019,,Master - Tehnologia informației și comunicațiilor,
2019,,"Master - Programe tehnice, inginerești și științifice",
2020,,,
2020,Licență - Numărul de locuri bugetare în comanda de stat pentru înscrierea în învățământul superior,,5000.0
2020,Licență - Tehnologia informației și comunicațiilor,,633.0
2020,"Licență - Programe tehnice, inginerești și științifice",,717.0
2020,,Master - Numărul de locuri bugetare în comanda de stat pentru înscrierea în învățământul superior,3096.0
2020,,Master - Tehnologia informației și comunicațiilor,
2020,,"Master - Programe tehnice, inginerești și științifice",
2021,,,
2021,Licență - Numărul de locuri bugetare în comanda de stat pentru înscrierea în învățământul superior,,5040.0
2021,Licență - Tehnologia informației și comunicațiilor,,633.0
2021,"Licență - Programe tehnice, inginerești și științifice",,677.0
2021,,Master - Numărul de locuri bugetare în comanda de stat pentru înscrierea în învățământul superior,3081.0
2021,,Master - Tehnologia informației și comunicațiilor,135.0
2021,,"Master - Programe tehnice, inginerești și științifice",320.0
2022,,,
2022,Licență - Numărul de locuri bugetare în comanda de stat pentru înscrierea în învățământul superior,,5307.0
2022,Licență - Tehnologia informației și comunicațiilor,,690.0
2022,"Licență - Programe tehnice, inginerești și științifice",,761.0
2022,,Master - Numărul de locuri bugetare în comanda de stat pentru înscrierea în învățământul superior,2864.0
2022,,Master - Tehnologia informației și comunicațiilor,155.0
2022,,"Master - Programe tehnice, inginerești și științifice",267.0
