Year,Rare species ,Local species,Disappearance risk categories,Value
2010,,,,
2010, Plants,,,
2010,Animale,,,
2010,, Plants,,
2010,,Animale,,
2010,,,xx,
2010,,,xx,
2010,,,xx,
2011,,,,
2011, Plants,,,
2011,Animale,,,
2011,, Plants,,
2011,,Animale,,
2011,,,xx,
2011,,,xx,
2011,,,xx,
2012,,,,
2012, Plants,,,
2012,Animale,,,
2012,, Plants,,
2012,,Animale,,
2012,,,xx,
2012,,,xx,
2012,,,xx,
2013,,,,
2013, Plants,,,
2013,Animale,,,
2013,, Plants,,
2013,,Animale,,
2013,,,xx,
2013,,,xx,
2013,,,xx,
2014,,,,
2014, Plants,,,
2014,Animale,,,
2014,, Plants,,
2014,,Animale,,
2014,,,xx,
2014,,,xx,
2014,,,xx,
2015,,,,
2015, Plants,,,
2015,Animale,,,
2015,, Plants,,
2015,,Animale,,
2015,,,xx,
2015,,,xx,
2015,,,xx,
2016,,,,
2016, Plants,,,
2016,Animale,,,
2016,, Plants,,
2016,,Animale,,
2016,,,xx,
2016,,,xx,
2016,,,xx,
2017,,,,
2017, Plants,,,
2017,Animale,,,
2017,, Plants,,
2017,,Animale,,
2017,,,xx,
2017,,,xx,
2017,,,xx,
2018,,,,
2018, Plants,,,
2018,Animale,,,
2018,, Plants,,
2018,,Animale,,
2018,,,xx,
2018,,,xx,
2018,,,xx,
2019,,,,
2019, Plants,,,
2019,Animale,,,
2019,, Plants,,
2019,,Animale,,
2019,,,xx,
2019,,,xx,
2019,,,xx,
2020,,,,
2020, Plants,,,
2020,Animale,,,
2020,, Plants,,
2020,,Animale,,
2020,,,xx,
2020,,,xx,
2020,,,xx,
2021,,,,
2021, Plants,,,
2021,Animale,,,
2021,, Plants,,
2021,,Animale,,
2021,,,xx,
2021,,,xx,
2021,,,xx,
2022,,,,
2022, Plants,,,
2022,Animale,,,
2022,, Plants,,
2022,,Animale,,
2022,,,xx,
2022,,,xx,
2022,,,xx,
