Year,Mediul de reședință,Sex,Grupa de vârstă,Chintile pe cheltuielile de consum,Existența dizabilității,Value
2010,,,,,,
2010,Urban,,,,,
2010,Rural,,,,,
2010,,Bărbați,,,,
2010,,Femei,,,,
2010,,,0-17,,,
2010,,,18-29,,,
2010,,,30-39,,,
2010,,,40-49,,,
2010,,,50-59,,,
2010,,,60+,,,
2010,,,,I,,
2010,,,,II,,
2010,,,,III,,
2010,,,,IV,,
2010,,,,V,,
2010,,,,,Persoane cu dizabilitate,
2010,,,,,Persoane fără dizabilitate,
2011,,,,,,
2011,Urban,,,,,
2011,Rural,,,,,
2011,,Bărbați,,,,
2011,,Femei,,,,
2011,,,0-17,,,
2011,,,18-29,,,
2011,,,30-39,,,
2011,,,40-49,,,
2011,,,50-59,,,
2011,,,60+,,,
2011,,,,I,,
2011,,,,II,,
2011,,,,III,,
2011,,,,IV,,
2011,,,,V,,
2011,,,,,Persoane cu dizabilitate,
2011,,,,,Persoane fără dizabilitate,
2012,,,,,,
2012,Urban,,,,,
2012,Rural,,,,,
2012,,Bărbați,,,,
2012,,Femei,,,,
2012,,,0-17,,,
2012,,,18-29,,,
2012,,,30-39,,,
2012,,,40-49,,,
2012,,,50-59,,,
2012,,,60+,,,
2012,,,,I,,
2012,,,,II,,
2012,,,,III,,
2012,,,,IV,,
2012,,,,V,,
2012,,,,,Persoane cu dizabilitate,
2012,,,,,Persoane fără dizabilitate,
2013,,,,,,
2013,Urban,,,,,
2013,Rural,,,,,
2013,,Bărbați,,,,
2013,,Femei,,,,
2013,,,0-17,,,
2013,,,18-29,,,
2013,,,30-39,,,
2013,,,40-49,,,
2013,,,50-59,,,
2013,,,60+,,,
2013,,,,I,,
2013,,,,II,,
2013,,,,III,,
2013,,,,IV,,
2013,,,,V,,
2013,,,,,Persoane cu dizabilitate,
2013,,,,,Persoane fără dizabilitate,
2014,,,,,,21.5
2014,Urban,,,,,29.5
2014,Rural,,,,,15.7
2014,,Bărbați,,,,22.7
2014,,Femei,,,,20.4
2014,,,0-17,,,36.4
2014,,,18-29,,,28.5
2014,,,30-39,,,30.2
2014,,,40-49,,,19.6
2014,,,50-59,,,9.4
2014,,,60+,,,4.5
2014,,,,I,,35.6
2014,,,,II,,20.5
2014,,,,III,,19.1
2014,,,,IV,,15.8
2014,,,,V,,16.5
2014,,,,,Persoane cu dizabilitate,10.2
2014,,,,,Persoane fără dizabilitate,22.2
2015,,,,,,18.4
2015,Urban,,,,,27.1
2015,Rural,,,,,12.2
2015,,Bărbați,,,,19.1
2015,,Femei,,,,17.8
2015,,,0-17,,,33.4
2015,,,18-29,,,20.1
2015,,,30-39,,,29.2
2015,,,40-49,,,17.0
2015,,,50-59,,,6.7
2015,,,60+,,,4.8
2015,,,,I,,27.7
2015,,,,II,,17.8
2015,,,,III,,15.2
2015,,,,IV,,17.1
2015,,,,V,,14.4
2015,,,,,Persoane cu dizabilitate,8.9
2015,,,,,Persoane fără dizabilitate,19.2
2016,,,,,,18.9
2016,Urban,,,,,26.1
2016,Rural,,,,,13.7
2016,,Bărbați,,,,19.9
2016,,Femei,,,,18.0
2016,,,0-17,,,35.3
2016,,,18-29,,,22.3
2016,,,30-39,,,27.7
2016,,,40-49,,,16.0
2016,,,50-59,,,7.3
2016,,,60+,,,4.2
2016,,,,I,,29.4
