Year,Consumption needs,Activități economice,Value
2010,,,785.0
2010,Domestic,,118.0
2010,Irigare,,40.0
2010,Technology,,581.0
2010,,"Agricultura, silvicultura și pescuit",79.0
2010,,Industria prelucrătoare,17.0
2010,,"Energia electrică, gaze și apă",683.0
2010,,Alte activități,6.0
2011,,,785.0
2011,Domestic,,119.0
2011,Irigare,,39.0
2011,Technology,,580.0
2011,,"Agricultura, silvicultura și pescuit",79.0
2011,,Industria prelucrătoare,17.0
2011,,"Energia electrică, gaze și apă",683.0
2011,,Alte activități,6.0
2012,,,786.0
2012,Domestic,,118.0
2012,Irigare,,39.0
2012,Technology,,580.0
2012,,"Agricultura, silvicultura și pescuit",80.0
2012,,Industria prelucrătoare,17.0
2012,,"Energia electrică, gaze și apă",684.0
2012,,Alte activități,5.0
2013,,,782.0
2013,Domestic,,118.0
2013,Irigare,,38.0
2013,Technology,,580.0
2013,,"Agricultura, silvicultura și pescuit",83.0
2013,,Industria prelucrătoare,17.0
2013,,"Energia electrică, gaze și apă",676.0
2013,,Alte activități,6.0
2014,,,777.0
2014,Domestic,,113.0
2014,Irigare,,38.0
2014,Technology,,579.0
2014,,"Agricultura, silvicultura și pescuit",83.0
2014,,Industria prelucrătoare,17.0
2014,,"Energia electrică, gaze și apă",670.0
2014,,Alte activități,7.0
2015,,,777.0
2015,Domestic,,114.0
2015,Irigare,,39.0
2015,Technology,,579.0
2015,,"Agricultura, silvicultura și pescuit",81.0
2015,,Industria prelucrătoare,17.0
2015,,"Energia electrică, gaze și apă",672.0
2015,,Alte activități,7.0
2016,,,776.0
2016,Domestic,,115.0
2016,Irigare,,40.0
2016,Technology,,578.0
2016,,"Agricultura, silvicultura și pescuit",82.0
2016,,Industria prelucrătoare,17.0
2016,,"Energia electrică, gaze și apă",672.0
2016,,Alte activități,5.0
2017,,,777.0
2017,Domestic,,113.0
2017,Irigare,,40.0
2017,Technology,,583.0
2017,,"Agricultura, silvicultura și pescuit",81.0
2017,,Industria prelucrătoare,17.0
2017,,"Energia electrică, gaze și apă",674.0
2017,,Alte activități,5.0
2018,,,777.0
2018,Domestic,,111.0
2018,Irigare,,42.0
2018,Technology,,582.0
2018,,"Agricultura, silvicultura și pescuit",82.0
2018,,Industria prelucrătoare,14.0
2018,,"Energia electrică, gaze și apă",675.0
2018,,Alte activități,6.0
2019,,,777.0
2019,Domestic,,110.0
2019,Irigare,,44.0
2019,Technology,,582.0
2019,,"Agricultura, silvicultura și pescuit",83.0
2019,,Industria prelucrătoare,17.0
2019,,"Energia electrică, gaze și apă",674.0
2019,,Alte activități,3.0
2020,,,787.0
2020,Domestic,,112.0
2020,Irigare,,50.0
2020,Technology,,583.0
2020,,"Agricultura, silvicultura și pescuit",90.0
2020,,Industria prelucrătoare,15.0
2020,,"Energia electrică, gaze și apă",677.0
2020,,Alte activități,5.0
2021,,,780.0
2021,Domestic,,112.0
2021,Irigare,,43.0
2021,Technology,,583.0
2021,,"Agricultura, silvicultura și pescuit",83.0
2021,,Industria prelucrătoare,15.0
2021,,"Energia electrică, gaze și apă",677.0
2021,,Alte activități,5.0
2022,,,
2022,Domestic,,
2022,Irigare,,
2022,Technology,,
2022,,"Agricultura, silvicultura și pescuit",
2022,,Industria prelucrătoare,
2022,,"Energia electrică, gaze și apă",
2022,,Alte activități,
