Year,Mediul de reședință,Sex,Grupa de vârstă,Chintile pe cheltuielile de consum,Existența dizabilității,Value
2010,,,,,,
2010,Urban,,,,,
2010,Rural,,,,,
2010,,Bărbați,,,,
2010,,Femei,,,,
2010,,,0-17,,,
2010,,,18-29,,,
2010,,,30-39,,,
2010,,,40-49,,,
2010,,,50-59,,,
2010,,,60+,,,
2010,,,,I,,
2010,,,,II,,
2010,,,,III,,
2010,,,,IV,,
2010,,,,V,,
2010,,,,,Persoane cu dizabilitate,
2010,,,,,Persoane fără dizabilitate,
2011,,,,,,
2011,Urban,,,,,
2011,Rural,,,,,
2011,,Bărbați,,,,
2011,,Femei,,,,
2011,,,0-17,,,
2011,,,18-29,,,
2011,,,30-39,,,
2011,,,40-49,,,
2011,,,50-59,,,
2011,,,60+,,,
2011,,,,I,,
2011,,,,II,,
2011,,,,III,,
2011,,,,IV,,
2011,,,,V,,
2011,,,,,Persoane cu dizabilitate,
2011,,,,,Persoane fără dizabilitate,
2012,,,,,,
2012,Urban,,,,,
2012,Rural,,,,,
2012,,Bărbați,,,,
2012,,Femei,,,,
2012,,,0-17,,,
2012,,,18-29,,,
2012,,,30-39,,,
2012,,,40-49,,,
2012,,,50-59,,,
2012,,,60+,,,
2012,,,,I,,
2012,,,,II,,
2012,,,,III,,
2012,,,,IV,,
2012,,,,V,,
2012,,,,,Persoane cu dizabilitate,
2012,,,,,Persoane fără dizabilitate,
2013,,,,,,
2013,Urban,,,,,
2013,Rural,,,,,
2013,,Bărbați,,,,
2013,,Femei,,,,
2013,,,0-17,,,
2013,,,18-29,,,
2013,,,30-39,,,
2013,,,40-49,,,
2013,,,50-59,,,
2013,,,60+,,,
2013,,,,I,,
2013,,,,II,,
2013,,,,III,,
2013,,,,IV,,
2013,,,,V,,
2013,,,,,Persoane cu dizabilitate,
2013,,,,,Persoane fără dizabilitate,
2014,,,,,,19.6
2014,Urban,,,,,22.6
2014,Rural,,,,,17.5
2014,,Bărbați,,,,18.4
2014,,Femei,,,,20.7
2014,,,0-17,,,17.4
2014,,,18-29,,,17.3
2014,,,30-39,,,17.8
2014,,,40-49,,,15.2
2014,,,50-59,,,19.2
2014,,,60+,,,29.5
2014,,,,I,,14.7
2014,,,,II,,15.7
2014,,,,III,,20.0
2014,,,,IV,,22.1
2014,,,,V,,25.7
2014,,,,,Persoane cu dizabilitate,23.1
2014,,,,,Persoane fără dizabilitate,19.4
2015,,,,,,17.4
2015,Urban,,,,,19.2
2015,Rural,,,,,16.1
2015,,Bărbați,,,,15.8
2015,,Femei,,,,18.8
2015,,,0-17,,,13.4
2015,,,18-29,,,14.8
2015,,,30-39,,,13.5
2015,,,40-49,,,15.8
2015,,,50-59,,,17.4
2015,,,60+,,,28.1
2015,,,,I,,12.8
2015,,,,II,,13.8
2015,,,,III,,17.0
2015,,,,IV,,19.5
2015,,,,V,,23.8
2015,,,,,Persoane cu dizabilitate,23.2
2015,,,,,Persoane fără dizabilitate,16.9
2016,,,,,,17.2
2016,Urban,,,,,19.3
2016,Rural,,,,,15.8
2016,,Bărbați,,,,15.4
2016,,Femei,,,,18.9
2016,,,0-17,,,13.1
2016,,,18-29,,,16.2
2016,,,30-39,,,13.1
2016,,,40-49,,,15.2
2016,,,50-59,,,18.2
2016,,,60+,,,26.1
2016,,,,I,,12.9
