Year,Mediul de reședință,Sex,Age group,Age group 1 and Sex,Age group 2 and Sex,Employment status,Value
2010,,,,,,,
2010,Urban,,,,,,
2010,Rural,,,,,,
2010,,Bărbați,,,,,
2010,,Femei,,,,,
2010,,,15-24,,,,
2010,,,25-34,,,,
2010,,,35-44,,,,
2010,,,45-54,,,,
2010,,,55+,,,,
2010,,,,0-14 / Total,,,
2010,,,,15+ / Total,,,
2010,,,,15+ / Men,,,
2010,,,,15+ / Women,,,
2010,,,,,15-24 / Total,,
2010,,,,,15-24 / Men,,
2010,,,,,15-24 / Women,,
2010,,,,,25+ / Total,,
2010,,,,,25+ / Men,,
2010,,,,,25+ / Women,,
2010,,,,,,Self-employers in agriculture,
2010,,,,,,Employees in the agricultural sector,
2010,,,,,,Employees in the non-agricultural sector,
2010,,,,,,Self-employers in non-agricultural activities,
2010,,,,,,Pensioners,
2010,,,,,,Others,
2011,,,,,,,
2011,Urban,,,,,,
2011,Rural,,,,,,
2011,,Bărbați,,,,,
2011,,Femei,,,,,
2011,,,15-24,,,,
2011,,,25-34,,,,
2011,,,35-44,,,,
2011,,,45-54,,,,
2011,,,55+,,,,
2011,,,,0-14 / Total,,,
2011,,,,15+ / Total,,,
2011,,,,15+ / Men,,,
2011,,,,15+ / Women,,,
2011,,,,,15-24 / Total,,
2011,,,,,15-24 / Men,,
2011,,,,,15-24 / Women,,
2011,,,,,25+ / Total,,
2011,,,,,25+ / Men,,
2011,,,,,25+ / Women,,
2011,,,,,,Self-employers in agriculture,
2011,,,,,,Employees in the agricultural sector,
2011,,,,,,Employees in the non-agricultural sector,
2011,,,,,,Self-employers in non-agricultural activities,
2011,,,,,,Pensioners,
2011,,,,,,Others,
2012,,,,,,,
2012,Urban,,,,,,
2012,Rural,,,,,,
2012,,Bărbați,,,,,
2012,,Femei,,,,,
2012,,,15-24,,,,
2012,,,25-34,,,,
2012,,,35-44,,,,
2012,,,45-54,,,,
2012,,,55+,,,,
2012,,,,0-14 / Total,,,
2012,,,,15+ / Total,,,
2012,,,,15+ / Men,,,
2012,,,,15+ / Women,,,
2012,,,,,15-24 / Total,,
2012,,,,,15-24 / Men,,
2012,,,,,15-24 / Women,,
2012,,,,,25+ / Total,,
2012,,,,,25+ / Men,,
2012,,,,,25+ / Women,,
2012,,,,,,Self-employers in agriculture,
2012,,,,,,Employees in the agricultural sector,
2012,,,,,,Employees in the non-agricultural sector,
2012,,,,,,Self-employers in non-agricultural activities,
2012,,,,,,Pensioners,
2012,,,,,,Others,
2013,,,,,,,
2013,Urban,,,,,,
2013,Rural,,,,,,
2013,,Bărbați,,,,,
2013,,Femei,,,,,
2013,,,15-24,,,,
2013,,,25-34,,,,
2013,,,35-44,,,,
2013,,,45-54,,,,
2013,,,55+,,,,
2013,,,,0-14 / Total,,,
2013,,,,15+ / Total,,,
2013,,,,15+ / Men,,,
2013,,,,15+ / Women,,,
2013,,,,,15-24 / Total,,
2013,,,,,15-24 / Men,,
2013,,,,,15-24 / Women,,
2013,,,,,25+ / Total,,
2013,,,,,25+ / Men,,
2013,,,,,25+ / Women,,
2013,,,,,,Self-employers in agriculture,
2013,,,,,,Employees in the agricultural sector,
2013,,,,,,Employees in the non-agricultural sector,
2013,,,,,,Self-employers in non-agricultural activities,
2013,,,,,,Pensioners,
