Year,Mediul de reședință,Nivele de educație,Value
2010,,,
2010,Urban,,
2010,Rural,,
2010,,învățământ primar,
2010,,gimnazial,
2010,,liceal,
2011,,,
2011,Urban,,
2011,Rural,,
2011,,învățământ primar,
2011,,gimnazial,
2011,,liceal,
2012,,,
2012,Urban,,
2012,Rural,,
2012,,învățământ primar,
2012,,gimnazial,
2012,,liceal,
2013,,,
2013,Urban,,
2013,Rural,,
2013,,învățământ primar,
2013,,gimnazial,
2013,,liceal,
2014,,,
2014,Urban,,
2014,Rural,,
2014,,învățământ primar,
2014,,gimnazial,
2014,,liceal,
2015,,,
2015,Urban,,
2015,Rural,,
2015,,învățământ primar,
2015,,gimnazial,
2015,,liceal,
2016,,,
2016,Urban,,
2016,Rural,,
2016,,învățământ primar,
2016,,gimnazial,
2016,,liceal,
2017,,,
2017,Urban,,
2017,Rural,,
2017,,învățământ primar,
2017,,gimnazial,
2017,,liceal,
2018,,,
2018,Urban,,
2018,Rural,,
2018,,învățământ primar,
2018,,gimnazial,
2018,,liceal,
2019,,,
2019,Urban,,
2019,Rural,,
2019,,învățământ primar,
2019,,gimnazial,
2019,,liceal,
2020,,,95.7
2020,Urban,,100.0
2020,Rural,,94.3
2020,,învățământ primar,
2020,,gimnazial,
2020,,liceal,
2021,,,96.4
2021,Urban,,100.0
2021,Rural,,95.2
2021,,învățământ primar,
2021,,gimnazial,
2021,,liceal,
2022,,,98.7
2022,Urban,,100.0
2022,Rural,,98.2
2022,,învățământ primar,96.7
2022,,gimnazial,98.3
2022,,liceal,100.0
