Year,Sexul petiționarului,Criterii de discriminare,Domeniul de discriminare,Forma de discriminare,Mediul de reședință,Value
2010,,,,,,
2010,Bărbați,,,,,
2010,Femei,,,,,
2010,,Opinie,,,,
2010,,Dizabilitate,,,,
2010,,Origine socială,,,,
2010,,Limbă,,,,
2010,,Sex/gen,,,,
2010,,Statutul HIV,,,,
2010,,Orientarea sexuală,,,,
2010,,Religie/convingeri,,,,
2010,,Statut profesional,,,,
2010,,Statut matrimonial,,,,
2010,,Apartenență politică,,,,
2010,,Loc de trai,,,,
2010,,Apartenență etnică,,,,
2010,,Maternitate,,,,
2010,,Naționalitate,,,,
2010,,Vârsta,,,,
2010,,Race,,,,
2010,,Activitate sindicală,,,,
2010,,Statut de pensionar,,,,
2010,,Alte,,,,
2010,,,Discriminare în câmpul muncii,,,
2010,,,Acces la învățământ,,,
2010,,,Acces la bunuri și servicii disponibile publicului,,,
2010,,,Acces la justiție,,,
2010,,,Discurs de ură,,,
2010,,,Lezarea demnității umane,,,
2010,,,Exercitarea drepturilor părintești,,,
2010,,,Alte,,,
2010,,,,Discriminare directă,,
2010,,,,Discriminare indirectă,,
2010,,,,Discriminare prin asociere,,
2010,,,,Instigare la discriminare,,
2010,,,,Hărțuire,,
2010,,,,Victimizare,,
2010,,,,Refuz în acomodare rezonabilă,,
2010,,,,Segregare rasială,,
2010,,,,,Urban,
2010,,,,,Rural,
2011,,,,,,
2011,Bărbați,,,,,
2011,Femei,,,,,
2011,,Opinie,,,,
2011,,Dizabilitate,,,,
2011,,Origine socială,,,,
2011,,Limbă,,,,
2011,,Sex/gen,,,,
2011,,Statutul HIV,,,,
2011,,Orientarea sexuală,,,,
2011,,Religie/convingeri,,,,
2011,,Statut profesional,,,,
2011,,Statut matrimonial,,,,
2011,,Apartenență politică,,,,
2011,,Loc de trai,,,,
2011,,Apartenență etnică,,,,
2011,,Maternitate,,,,
2011,,Naționalitate,,,,
2011,,Vârsta,,,,
2011,,Race,,,,
2011,,Activitate sindicală,,,,
2011,,Statut de pensionar,,,,
2011,,Alte,,,,
2011,,,Discriminare în câmpul muncii,,,
2011,,,Acces la învățământ,,,
2011,,,Acces la bunuri și servicii disponibile publicului,,,
2011,,,Acces la justiție,,,
2011,,,Discurs de ură,,,
2011,,,Lezarea demnității umane,,,
2011,,,Exercitarea drepturilor părintești,,,
2011,,,Alte,,,
2011,,,,Discriminare directă,,
2011,,,,Discriminare indirectă,,
2011,,,,Discriminare prin asociere,,
2011,,,,Instigare la discriminare,,
2011,,,,Hărțuire,,
2011,,,,Victimizare,,
2011,,,,Refuz în acomodare rezonabilă,,
2011,,,,Segregare rasială,,
2011,,,,,Urban,
